Locality,Region_Code
2140,2000.0
6830,3000.0
1830,2000.0
3128,2000.0
1933,2000.0
1703,2000.0
3050,2000.0
1731,2000.0
3321,2000.0
9690,2000.0
9750,2000.0
9070,2000.0
9661,2000.0
9240,2000.0
9080,2000.0
4860,3000.0
1031,1000.0
1008,1000.0
1300,3000.0
1420,3000.0
4690,3000.0
4841,3000.0
4130,3000.0
7863,3000.0
6460,3000.0
6511,3000.0
7548,3000.0
7700,3000.0
8490,2000.0
8552,2000.0
8730,2000.0
8851,2000.0
6666,3000.0
6690,3000.0
6730,3000.0
6747,3000.0
6890,3000.0
3440,2000.0
3150,2000.0
3404,2000.0
3290,2000.0
5370,3000.0
5564,3000.0
5555,3000.0
5360,3000.0
5032,3000.0
5380,3000.0
3621,2000.0
3770,2000.0
3790,2000.0
8210,2000.0
8720,2000.0
9930,2000.0
5334,3000.0
3545,2000.0
3001,2000.0
9050,2000.0
9890,2000.0
4530,3000.0
4252,3000.0
4783,3000.0
4041,3000.0
4771,3000.0
7033,3000.0
6593,3000.0
6141,3000.0
7973,3000.0
6596,3000.0
7940,3000.0
7781,3000.0
6441,3000.0
7890,3000.0
6238,3000.0
7063,3000.0
6224,3000.0
7030,3000.0
1180,1000.0
1421,3000.0
2230,2000.0
2100,2000.0
5589,3000.0
5620,3000.0
5575,3000.0
5650,3000.0
8540,2000.0
8587,2000.0
8906,2000.0
6663,3000.0
6724,3000.0
1935,2000.0
1851,2000.0
3090,2000.0
9099,2000.0
9220,2000.0
9772,2000.0
9992,2000.0
4263,3000.0
4253,3000.0
4850,3000.0
4983,3000.0
4030,3000.0
4837,3000.0
4190,3000.0
4731,3000.0
4950,3000.0
4684,3000.0
4250,3000.0
7540,3000.0
7181,3000.0
7760,3000.0
7530,3000.0
7618,3000.0
7912,3000.0
6000,3000.0
7904,3000.0
7380,3000.0
7070,3000.0
1000,1000.0
1160,1000.0
1340,3000.0
2570,2000.0
2830,2000.0
2450,2000.0
2560,2000.0
2223,2000.0
2800,2000.0
5521,3000.0
5100,3000.0
5332,3000.0
3680,2000.0
3740,2000.0
8940,2000.0
8952,2000.0
6637,3000.0
6674,3000.0
6830,3000.0
6941,3000.0
3390,2000.0
3202,2000.0
1600,2000.0
3060,2000.0
5190,3000.0
5010,3000.0
5101,3000.0
5524,3000.0
3930,2000.0
3945,2000.0
8300,2000.0
8531,2000.0
8790,2000.0
8792,2000.0
6920,3000.0
9521,2000.0
4040,3000.0
4801,3000.0
4280,3000.0
4700,3000.0
4357,3000.0
4980,3000.0
6001,3000.0
7970,3000.0
7972,3000.0
7803,3000.0
6042,3000.0
612,1000.0
1000,1000.0
2275,2000.0
2650,2000.0
2030,2000.0
2950,2000.0
6831,3000.0
6971,3000.0
1804,2000.0
1671,2000.0
1730,2000.0
1702,2000.0
3111,2000.0
1560,2000.0
1601,2000.0
9111,2000.0
9470,2000.0
9950,2000.0
9688,2000.0
9831,2000.0
9320,2000.0
9090,2000.0
9230,2000.0
9880,2000.0
9970,2000.0
9420,2000.0
9260,2000.0
4721,3000.0
4350,3000.0
4100,3000.0
4852,3000.0
4218,3000.0
7511,3000.0
7800,3000.0
7022,3000.0
7533,3000.0
7090,3000.0
7032,3000.0
1082,1000.0
1400,3000.0
2812,2000.0
2910,2000.0
2990,2000.0
5362,3000.0
3631,2000.0
3971,2000.0
8500,2000.0
8710,2000.0
6743,3000.0
6790,3000.0
6811,3000.0
6856,3000.0
6887,3000.0
6972,3000.0
3221,2000.0
3000,2000.0
1980,2000.0
3220,2000.0
1861,2000.0
1760,2000.0
1670,2000.0
1755,2000.0
3460,2000.0
3061,2000.0
1547,2000.0
9400,2000.0
9960,2000.0
9400,2000.0
4650,3000.0
4840,3000.0
4537,3000.0
7513,3000.0
7850,3000.0
7971,3000.0
7501,3000.0
7160,3000.0
7643,3000.0
7642,3000.0
7870,3000.0
6543,3000.0
7387,3000.0
1035,1000.0
